gene,B Han_2025,D Coppola_2011,G Bindea_2013,I P.MacFawn_2024,J Yang_2025,J-X Lei_2024,L Pu_2025,L de Chaisemartin_2011,M Jiao_2025,M Meylan_2022,R Cabrita_2020,R Wu_2021,W Wu_2024,X Liu_2024,X Wang_2024,Y Hou_2023,Y Hua_2025,Y Liu_2024,Y Zhang_2024,Z Gong_2024,Z Xu_2024
CXCR4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
CXCR5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
CYBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CYTIP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEF6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
DERL3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DNASE1L3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
DPT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EIFA1Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
EMILIN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
EVL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
FBLN7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FCMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FCRL3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCRL5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FCRLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FDCSP,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FHL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FXYD5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GAS1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GSTP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HCST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
