,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
IFNG,1.0141926,0.34554112,-0.09592282,0.17673257,0.72158486,0.48822743,-0.35627142,0.29239458,0.84597284,-0.53965735,4.085058,2.2025678,-0.53965735,-0.53965735,-0.53965735,-0.53965735,-0.17319469,-0.53965735,-0.53965735,2.1046329,1.6790886,-0.53965735,-0.53965735,0.16082685,-0.53965735,-0.53965735,-0.53965735,-0.53965735,-0.53965735,-0.53965735,-0.53965735,-0.53965735,-0.53965735,-0.53965735,-0.53965735,-0.53965735,-0.53965735,-0.53965735,-0.53965735,-0.53965735
CD3D,0.563595,1.2675439,-0.004978311,0.99838096,2.4561677,-0.7886674,-0.78457004,-0.59808975,0.5700735,0.029867578,-0.292458,0.7184117,-0.22310713,-0.113027506,-0.64297837,-0.9113338,-0.84896976,0.5753544,-0.9234481,-0.48695728,-0.657242,0.5126504,-0.77423096,-0.27185187,-0.96178395,-0.5907814,-0.7344655,-0.49261147,1.7669092,-0.81703407,-0.55363685,1.0705099,-0.61581564,-1.1394037,1.0324652,-0.7218755,1.6585177,0.023122171,2.845152,-1.1394037
CD4,0.8161983,1.0522333,0.31512126,0.7258746,1.5066937,-0.6122317,-0.80342436,-0.62249684,2.3581483,0.41592413,0.2763098,0.5796901,-0.38103288,-0.43275097,-0.27446362,-0.89639646,-0.8466576,0.43249267,-0.8654965,-0.42311445,-0.41418174,0.03158607,-0.54146814,-0.20721115,-1.1116498,-0.1952813,-0.89271754,-0.5141194,0.8935313,-0.92088014,-0.8333713,0.32434207,-1.0930055,-0.35163,0.46991113,-0.50502384,0.62872183,0.29022032,3.8339827,-1.2123816
GNLY,0.7601426,1.8318499,0.24619944,0.48498353,1.6260276,-0.77948266,-0.4825475,-0.5773439,0.47816917,0.6227084,0.96361315,0.8641983,-0.120130636,1.5227269,-0.5955947,-0.9401809,-0.9563512,1.3908246,-0.66777986,-0.58749044,-0.6413433,0.35863745,-1.1735309,-0.29268438,-0.7922446,-0.6015588,0.07581384,0.60120165,1.3714573,-0.66051203,0.4070073,-1.2777663,-1.2777663,1.4555957,-1.2777663,-1.2777663,-1.2777663,0.67532593,1.7988892,-1.2777663
PRF1,0.14833245,0.49785188,-0.11423252,0.40844297,0.35786477,-0.5068932,-0.50447965,-0.61160195,0.065757126,0.64295566,0.43594036,0.5342529,-0.5343397,0.46754155,-0.23681644,-0.80265653,-0.6189377,0.1423681,-0.49105495,-0.40737376,-0.47327277,-0.14615197,-0.610107,0.45622,-0.7820707,-0.27161688,-0.18909255,-0.26198253,-0.12023871,-0.5991443,0.39196223,0.19191667,-0.86257964,-0.27610072,0.04854971,-0.86257964,-0.19762154,-0.86257964,1.2001525,5.3534164
KLRD1,0.48584735,1.3630104,-0.10542157,0.32161298,1.0444895,-0.35330918,-0.63676596,-0.23507597,0.4466431,0.30710793,1.0548507,0.5178606,0.21059102,-0.7820828,0.26527154,-0.7820828,-0.7103018,0.1624748,-0.29120028,-0.7820828,-0.44496703,1.6746316,-0.58671653,0.7691875,-0.7820828,-0.55357224,0.018188754,1.0075457,0.98421997,-0.7820828,-0.7820828,-0.7820828,-0.7820828,-0.7820828,-0.7820828,-0.7820828,4.2329564,-0.7820828,-0.7820828,-0.7820828
CD14,0.91499746,1.4110163,0.48789135,0.7959507,0.42413518,-0.43548948,-0.6605131,-0.6127418,2.7145927,0.50580484,0.08979884,0.9293684,-0.31866643,-0.22074811,-0.21594168,-0.7872848,-0.56781733,0.60847086,-0.80559826,-0.19562872,-0.40451238,-0.069397576,-0.60542434,-0.06747439,-0.6248773,-0.65986097,-0.67103374,0.1363108,0.16815117,-0.829673,-0.82683563,0.21881537,-0.8572597,-0.29333663,-0.99220407,-0.26337412,-0.60127854,0.060628913,4.1132426,-0.99220407
LYZ,0.7521372,0.7605235,0.5248007,0.5344458,0.23510155,-0.022768732,-0.20219176,-0.17692527,5.6826096,-0.13677463,0.52290887,0.60984,-0.25505456,-0.4740994,0.5432603,-0.47617996,-0.36862397,-0.04161376,-0.4538131,-0.29601076,-0.40863764,-0.17014875,-0.35442522,-0.35905266,-0.4718882,-0.20000154,-0.39825508,-0.38259974,-0.36045334,-0.4138711,-0.46858764,0.07499793,-0.47669354,-0.45624498,-0.44792518,-0.3498565,-0.4689331,-0.33746457,-0.3755238,-0.43600568
VCAN,4.9772997,0.45271915,-0.47391763,1.182234,-0.19267954,-0.74123114,-0.095361374,-0.7154181,0.06734868,0.25147113,-0.7313216,0.8207239,0.039647188,-0.6977914,0.09524213,-0.5559509,-0.28549814,0.84964854,-0.3996129,-0.4513143,-0.43110707,1.10844,-0.3948344,-0.61889696,-0.8210778,0.26888892,-0.2269066,-0.7341776,-0.069148384,-0.6345145,0.81737715,0.32443127,-0.6360508,-1.0782131,-0.7164129,0.5574091,-0.36204928,-0.24128962,-0.4134803,0.9053772
FCGR3A,1.018305,0.5930431,-0.060002986,0.48987478,-0.37282616,-0.42001262,-0.3489359,-0.6123271,2.332344,0.01782148,0.049877737,0.7452633,-0.5660411,0.09184899,0.14324741,-0.723574,-0.3828392,0.010065086,-0.73831815,-0.39637527,0.02029482,-0.20612574,-0.39603373,0.004956493,-0.785948,0.007266311,-0.5517221,-0.28078917,0.7443864,-0.15798305,0.6028975,-0.7112474,-0.9587572,-0.45753163,1.4785501,-0.52883,-1.0325525,-1.0325525,4.4038377,-1.0325525
CXCL10,1.2700315,0.37978566,0.74824613,0.3778744,0.38273036,-0.15073058,-0.3239494,-0.45416436,3.219532,-0.061941635,-0.28305125,0.85165375,0.47998965,-0.73167276,0.3605495,-0.74823284,-0.7853711,1.5159838,-0.62671715,-0.5635617,-0.4435679,0.41139835,-0.35157764,-0.3712437,-1.0043066,-0.10504631,-0.23380482,0.19369808,3.0169718,-0.78117704,0.09789468,0.47172412,-1.3839253,-0.60144097,-0.7819518,-0.14583912,-1.3839253,0.79134476,-0.86828446,-1.3839253
NOS2,0.26008216,0.96669596,0.7058685,-0.3556373,0.49480063,0.10547104,0.12200509,0.48934838,-0.3556373,4.944601,-0.3556373,-0.3556373,-0.3556373,-0.3556373,2.9358845,-0.3556373,-0.3556373,-0.3556373,-0.3556373,-0.3556373,-0.3556373,-0.3556373,-0.3556373,-0.3556373,-0.3556373,-0.3556373,-0.3556373,-0.3556373,-0.3556373,-0.3556373,-0.3556373,-0.3556373,-0.3556373,-0.3556373,-0.3556373,-0.3556373,-0.3556373,-0.3556373,-0.3556373,-0.3556373
CD68,0.22839187,0.36267433,0.032817826,0.13545014,-0.027720632,-0.3299813,-0.41993156,-0.4671652,3.056053,-0.12715489,0.12216985,0.092420146,-0.35004297,-0.7224361,-0.14768192,-0.72032267,-0.44457376,-0.07991855,-0.36382973,-0.3709106,-0.16708115,-0.25469935,-0.38180026,-0.24301994,0.35657367,-0.3186494,-0.43297064,-0.4944328,3.3903985,-0.4797662,-0.21977055,-0.39797333,-0.7271331,-0.3374551,-0.6403211,-0.1590064,-0.6644001,-0.06848815,3.5088217,-0.7271331
CD163,0.5149696,0.9814074,-0.01901049,0.25474057,0.07382793,-0.55572915,-0.68648887,-0.6519005,3.384266,0.3925064,0.23420523,0.50515574,-0.55314916,-0.017810995,-0.13354674,-0.83624774,-0.7511874,0.20156772,-0.800756,-0.55626667,-0.15401775,-0.34960982,-0.73330915,-0.3374271,-0.7628702,-0.54156715,-0.55359817,-0.35544172,1.9025319,-0.5426579,-0.5820753,-0.19121768,-0.96977794,0.035100732,2.5519285,-0.5114398,-0.09590354,-0.41995695,2.600534,-0.96977794
MRC1,0.32548442,1.0981115,0.28663737,0.2431265,0.22758839,-0.4531431,-0.6930995,-0.7420158,4.8553624,0.95989776,1.2609975,0.41657582,-0.20889789,0.25339296,-0.35045683,-0.8524558,-0.81225073,0.17269026,-0.86084664,0.13624309,-0.20414516,-0.25950646,-0.445847,-0.26959255,-0.90284646,-0.5044608,-0.69742143,-0.26966566,1.1932542,-0.32875535,-0.73856837,0.71496236,-0.9641494,0.046781052,-0.0065986947,0.40878862,0.071237184,-0.9641494,-0.17810893,-0.9641494
MARCO,-0.24223988,-0.3107158,-0.1819685,-0.19144596,-0.4145034,-0.037251092,-0.4006986,-0.37005496,3.4493318,-0.23783663,0.98200697,-0.3766075,-0.3410149,-0.46255362,-0.11760571,-0.3444756,-0.2521532,-0.46255362,-0.46255362,-0.3005305,-0.46255362,-0.46255362,0.045635354,0.03176826,-0.24266891,-0.46255362,-0.46255362,-0.46255362,1.6832285,-0.46255362,-0.1493184,-0.46255362,-0.46255362,-0.46255362,3.8946633,-0.46255362,-0.46255362,-0.46255362,1.8253145,-0.46255362
VSIG4,0.23571555,0.5070805,-0.045233324,-0.014739797,-0.19151568,-0.29746652,-0.6436578,-0.6128739,3.6721792,-0.024149684,0.53664917,-0.013771304,-0.4306466,0.1770168,0.19444592,-0.77176964,-0.71531224,-0.15725523,-0.7620386,-0.1468846,0.11632211,-0.3417303,-0.41867295,-0.07173834,-0.5728691,-0.37329042,-0.44071558,0.56107897,1.2774582,-0.6504161,0.020622503,-0.8640442,-0.8640442,-0.8640442,1.141319,-0.6388946,-0.8640442,0.6359415,3.5800345,-0.8640442
