cluster,gene,score,pval_adj
0,IGLC3_nbr_0,294.86276,0.0
0,IGLC2_nbr_0,290.5676,0.0
0,IGKC_nbr_0,286.24747,0.0
0,IGKC,259.68405,0.0
0,IGHA1_nbr_0,241.97568,0.0
0,IGLC3_nbr_1,235.64073,0.0
0,IGLC2,234.40791,0.0
0,IGHA1_nbr_1,226.17668,0.0
0,IGLC3,224.27957,0.0
0,IGLC2_nbr_1,224.05064,0.0
0,IGHG2_nbr_1,200.2667,0.0
0,IGHG2_nbr_0,198.2637,0.0
0,IGKC_nbr_1,178.60593,0.0
0,IGHG3_nbr_1,173.14667,0.0
0,COL3A1_nbr_0,168.59547,0.0
0,IGHG3_nbr_0,165.57527,0.0
0,IGLC1_nbr_1,162.96689,0.0
0,IGHA1,157.48369,0.0
0,IGHM_nbr_0,155.74825,0.0
0,IGHM_nbr_1,155.59178,0.0
0,IGLC1_nbr_0,144.95328,0.0
0,CCDC80_nbr_1,142.75772,0.0
0,MGP_nbr_0,133.57385,0.0
0,CCDC80_nbr_0,127.75797,0.0
0,SFRP2_nbr_1,126.66109,0.0
0,MGP_nbr_1,125.4277,0.0
0,COL3A1_nbr_1,113.83001,0.0
0,COL1A1_nbr_0,105.76674,0.0
0,IGHG2,103.62226,0.0
0,SFRP2_nbr_0,100.29214,0.0
11,SCGB3A1,159.06496,0.0
11,SCGB3A1_nbr_0,136.96216,0.0
11,SCGB3A1_nbr_1,124.78757,0.0
11,SFTPA2_nbr_0,67.80957,0.0
11,SFTPA2_nbr_1,60.56105,0.0
11,SFTPA2,31.894539,1.8882712720670853e-221
11,SFTPA1_nbr_1,22.94699,5.777066495196449e-115
11,EMP2_nbr_1,19.51988,2.2549012013552267e-83
11,SFTPA1_nbr_0,18.294493,2.5312982178930282e-73
11,ADNP2_nbr_1,16.559122,3.4396990343559795e-60
11,NAB1_nbr_1,16.170013,2.01838478714851e-57
11,C6orf118_nbr_1,14.543801,1.4001702453943356e-46
11,EMP2_nbr_0,14.526805,1.7881114370381454e-46
11,TMED1_nbr_1,13.223959,1.2720496360880165e-38
11,RHOBTB1_nbr_1,12.944949,4.888209305218689e-37
11,ZNF335_nbr_1,12.942741,5.014511580558459e-37
11,VIPR1_nbr_1,12.73441,7.1832297180376e-36
11,ITLN2_nbr_1,12.619398,3.085553927582896e-35
11,SFTPB_nbr_1,12.142532,1.1223251539999658e-32
11,WDR92_nbr_1,11.8095455,5.990351651983313e-31
11,TREM1_nbr_1,11.732142,1.4952384836965321e-30
11,ADNP2_nbr_0,11.36867,9.927036193152373e-29
11,NAB1_nbr_0,11.059012,3.197875270272603e-27
11,INPP1_nbr_1,10.630746,3.3498735571244835e-25
11,TLR5_nbr_1,10.092418,8.885515486224138e-23
11,BNIP1_nbr_1,10.086056,9.456990735909768e-23
11,ADIRF_nbr_1,9.9347315,4.281066085425673e-22
11,VPS53_nbr_1,9.911729,5.352082374893089e-22
11,C6orf118_nbr_0,9.775211,2.0453510695405102e-21
11,KIAA1211L_nbr_1,9.40064,7.446072394442537e-20
13,SCGB3A1_nbr_1,30.289118,1.518617662724688e-199
13,SCGB3A1_nbr_0,26.28159,2.0991979637002846e-150
13,SPP1_nbr_1,25.472128,2.5904914065998913e-141
13,SPP1_nbr_0,20.575415,2.20551900597686e-92
13,SFTPA2_nbr_1,16.02144,3.15793745045028e-56
13,OLR1_nbr_1,13.673308,4.248574399460349e-41
13,SFTPA2_nbr_0,13.185388,2.944861478291102e-38
13,SLC11A1_nbr_1,12.763811,6.962854185306695e-36
13,TREM1_nbr_1,11.877956,3.8203755966841765e-31
13,NCF2_nbr_1,11.863315,4.5324052115888235e-31
13,TMSB4X,11.61614,8.221772791933029e-30
13,FCER1G_nbr_1,10.871127,3.596238468093435e-26
13,SPP1,10.344315,9.550161573462078e-24
13,OLR1_nbr_0,10.254489,2.3867369971894844e-23
13,FCER1G_nbr_0,9.895852,8.765667291001677e-22
13,LIPA_nbr_1,9.636514,1.1100920959614904e-20
13,SLC11A1_nbr_0,9.4085,9.647283102177214e-20
13,LIPA_nbr_0,9.380027,1.2563010227631132e-19
13,NCF2_nbr_0,9.199524,6.741386745434848e-19
13,TREM1_nbr_0,8.05887,1.2520754122589287e-14
13,CHIT1_nbr_1,7.9524403,2.9259731292337145e-14
13,LIPA,7.4792514,1.1128615044913248e-12
13,GPNMB_nbr_1,7.3393373,3.156672708198813e-12
13,CD68,7.2793374,4.885394180457443e-12
13,TMSB4X_nbr_0,6.9635615,4.6510612841440315e-11
13,CTSL_nbr_1,6.5802603,6.233966781401749e-10
13,CTSL_nbr_0,6.4258695,1.6918449398332732e-09
13,CD68_nbr_0,6.406741,1.9141161878116058e-09
13,GPNMB_nbr_0,6.381393,2.2450012691515667e-09
13,CD68_nbr_1,5.8791513,4.90922473055041e-08
15,SFTPB_nbr_0,52.966595,0.0
15,SCGB1A1_nbr_1,46.133984,0.0
15,SCGB1A1_nbr_0,45.40194,0.0
15,SCGB1A1,45.355892,0.0
15,SFTPB_nbr_1,44.87341,0.0
15,NR4A1_nbr_0,43.693584,0.0
15,NR4A1_nbr_1,43.17037,0.0
15,HBA2_nbr_1,42.885586,0.0
15,CYP4B1_nbr_1,38.936344,0.0
15,HBA1_nbr_1,38.53173,0.0
15,FOSB_nbr_0,38.450027,0.0
15,FOSB_nbr_1,38.415375,0.0
15,PDK4_nbr_1,37.46697,1.192420280358674e-304
15,SCGB3A1_nbr_0,35.94666,1.9024669902134575e-280
15,ZBTB16_nbr_1,35.623634,1.9055410253976933e-275
15,CLU_nbr_1,34.9431,4.9451550859817245e-265
15,EPAS1_nbr_0,34.14407,4.678752976429943e-253
15,CLU_nbr_0,33.549175,2.5242190905320077e-244
15,SFTPD_nbr_1,33.48379,2.1648423242174842e-243
15,SCGB3A1_nbr_1,32.802414,1.3598435507571495e-233
15,HBA2_nbr_0,32.290318,2.295678304385237e-226
15,EPAS1_nbr_1,31.66692,1.023698863418726e-217
15,HBA1_nbr_0,31.615068,5.093483755162402e-217
15,PDK4_nbr_0,31.26617,2.88438548813633e-212
15,KLF2_nbr_1,31.012772,7.502733154810122e-209
15,FMO2_nbr_1,30.753263,2.211866749657414e-205
15,CYP4B1_nbr_0,30.274378,4.8250168858193335e-199
15,SYNE1_nbr_1,30.270538,5.2508294131246995e-199
15,ZBTB16_nbr_0,30.230946,1.688874391136526e-198
15,KLF2_nbr_0,29.817266,4.1180196828176023e-193
2,CCL19_nbr_1,188.7527,0.0
2,CLU_nbr_1,184.10747,0.0
2,ETS1_nbr_1,174.95639,0.0
2,ETS1_nbr_0,170.11089,0.0
2,CLU_nbr_0,167.3232,0.0
2,CCL19_nbr_0,165.8387,0.0
2,TRBC2_nbr_1,156.99681,0.0
2,TRAC_nbr_1,153.1638,0.0
2,C7_nbr_1,152.61995,0.0
2,PTGDS_nbr_1,148.07764,0.0
2,KLF2_nbr_1,147.27722,0.0
2,TRBC2_nbr_0,134.76006,0.0
2,TRAC_nbr_0,132.60239,0.0
2,PTGDS_nbr_0,128.86876,0.0
2,C7_nbr_0,127.46478,0.0
2,KLF2_nbr_0,126.42987,0.0
2,CXCL13_nbr_1,125.72837,0.0
2,IL7R_nbr_1,124.60931,0.0
2,ADAMTS1_nbr_1,122.99286,0.0
2,TRBC1_nbr_1,116.00403,0.0
2,SPARCL1_nbr_1,115.1437,0.0
2,CXCL13_nbr_0,107.13586,0.0
