cluster,gene,score,pval_adj
0,IGHG1_nbr_0,414.32947,0.0
0,IGKC_nbr_0,413.26614,0.0
0,IGKC,382.7193,0.0
0,IGHG1,377.1117,0.0
0,IGLC2_nbr_0,351.6136,0.0
0,IGHG3_nbr_0,313.46667,0.0
0,IGLC2,291.25754,0.0
0,IGHG3,249.05025,0.0
0,COL1A1_nbr_0,179.05609,0.0
0,COL1A2_nbr_0,177.29239,0.0
0,IGHG3_nbr_1,122.33699,0.0
0,COL1A1,119.33705,0.0
0,COL1A2,97.83854,0.0
0,COL1A2_nbr_1,88.77326,0.0
0,COL1A1_nbr_1,75.96082,0.0
0,IGHM_nbr_1,68.05925,0.0
0,IGHM_nbr_0,62.954094,0.0
0,MMP1_nbr_1,54.961113,0.0
0,MMP1_nbr_0,36.548607,5.310120776231977e-291
0,IGLC2_nbr_1,28.750093,2.176723652919161e-180
0,IGHM,18.613506,4.433016803117667e-76
0,CCL21_nbr_1,13.195093,1.401091694873355e-38
0,IGLC7_nbr_1,12.419366,2.9736342452694124e-34
0,IGHD_nbr_1,11.810063,4.877456379366647e-31
0,IGHD_nbr_0,9.726873,2.9820128960021424e-21
0,IGLC7_nbr_0,7.2871695,3.56324773206092e-12
0,CCL21_nbr_0,7.0283494,2.3092966233486925e-11
0,C5orf46_nbr_1,4.4425993,7.762326216561461e-05
0,EPYC_nbr_1,4.086564,0.00036687892942491686
0,TMEM130_nbr_1,2.6563034,0.05356101084874543
1,CUBN,7.5514083,2.583457122158968e-10
1,LRRC4B,7.446075,2.8847442612780323e-10
1,LTF_nbr_1,4.9756837,0.0005888025951465476
1,TMSB4X_nbr_0,4.763301,0.0014283872228704124
1,IGKC_nbr_1,4.644649,0.001968529073097738
1,LTF_nbr_0,4.6327176,0.001968529073097738
1,SFTPA2_nbr_1,4.507151,0.0032851912376039498
1,IGHG1_nbr_1,4.2335196,0.010618262717794596
1,TMSB4X,4.021162,0.02481932305815462
1,SFTPA2_nbr_0,3.893388,0.039541536779486956
1,LTB_nbr_1,3.4677224,0.18525507955584725
1,SFTPB_nbr_1,3.3309858,0.2884632818565998
1,SFTPB_nbr_0,3.2062953,0.4238089594492739
1,IL17RB,3.1920443,0.4238089594492739
1,CXCL13_nbr_1,3.0802057,0.5910218174363737
1,MMP9_nbr_1,2.9780684,0.6974453399026022
1,ITGA2B,2.9775078,0.6974453399026022
1,MS4A1_nbr_1,2.9427013,0.7257302088455844
1,LTB_nbr_0,2.9415457,0.7257302088455844
1,LCN10,2.8730571,0.8435465581291925
1,MAMDC2,2.8721309,0.8435465581291925
1,SERPINB1_nbr_1,2.671082,0.9999992838497509
1,CXCL13_nbr_0,2.6657486,0.9999992838497509
1,CD22_nbr_1,2.5849829,0.9999992838497509
1,MS4A1_nbr_0,2.5210645,0.9999992838497509
1,SLPI_nbr_1,2.3860369,0.9999992838497509
1,LYZ_nbr_1,2.3639035,0.9999992838497509
1,F3_nbr_1,2.2594602,0.9999992838497509
1,RAB44,2.2334976,0.9999992838497509
1,SFTPB,2.1164806,0.9999992838497509
10,MGAT5B,4.562023,0.030397852887899677
10,SPATA21,3.9919794,0.19657232307160108
10,OR10A7,2.6613731,0.9999416534151738
10,S100A9_nbr_1,2.3491156,0.9999416534151738
10,RNASE9,2.091079,0.9999416534151738
10,SPRR2D_nbr_1,1.9837258,0.9999416534151738
10,SLC11A1_nbr_1,1.8646424,0.9999416534151738
10,S100A9_nbr_0,1.8544823,0.9999416534151738
10,KRT16_nbr_1,1.8441564,0.9999416534151738
10,C5AR1_nbr_1,1.8409151,0.9999416534151738
10,S100A7_nbr_0,1.7633584,0.9999416534151738
10,KRT6B_nbr_1,1.7592939,0.9999416534151738
10,PI3_nbr_1,1.6907135,0.9999416534151738
10,F3_nbr_0,1.6706749,0.9999416534151738
