cluster,gene,score,pval_adj
0,IGKC,231.92772,0.0
0,IGLC2,144.16077,0.0
0,IGHG1,125.04533,0.0
0,IGLC3,119.92036,0.0
0,COL3A1,88.92291,0.0
0,IGHA1,84.02222,0.0
0,CD74,83.249794,0.0
0,COL1A1,65.50984,0.0
0,VIM,64.36549,0.0
0,COL1A2,52.86975,0.0
0,IGHG2,52.818523,0.0
0,IGHM,50.740486,0.0
0,A2M,49.648087,0.0
0,IGHG3,48.9773,0.0
0,APOE,35.90615,1.897136418625472e-279
0,COL6A3,25.346218,5.199778031746631e-139
0,SPARC,24.534801,3.189320053712625e-130
0,SFTPB,22.6942,2.2126710399711403e-111
0,TIMP1,22.034666,5.636053337162292e-105
0,C3,20.287344,6.442579443695512e-89
0,IGLC1,20.261477,1.0619308677836281e-88
0,LYZ,18.318504,1.9705435761474612e-72
0,RGS1,18.215658,1.2681141581575934e-71
0,LUM,18.131388,5.764142392289084e-71
0,MGP,17.960648,1.240580309476202e-69
0,DCN,17.827686,1.3212247770634715e-68
0,MMP2,17.394371,2.7339346994298946e-65
0,CXCR4,16.842781,3.354918275293177e-61
0,BGN,16.479996,1.4187106319046228e-58
0,FTL,15.548849,4.415142232263959e-52
1,CEACAM6,49.51505,0.0
1,S100A6,43.46573,0.0
1,MT-CO3,37.144527,5.648816815593577e-299
1,ELF3,35.009205,1.5990372288178418e-265
1,MT-CO2,21.502422,9.88598044325877e-100
1,CEACAM5,21.489523,1.2485066344422805e-99
1,CLDN4,21.25131,1.966042168457917e-97
1,MT-CO1,20.386759,1.2904631633568865e-89
1,CAPN13,19.968,5.918770715551671e-86
1,TMSB10,19.772516,2.7991816566687004e-84
1,RNASE1,19.24634,7.963382544158981e-80
1,MT-CYB,18.678503,3.633735767819667e-75
1,LY6E,17.227057,7.653538133696947e-64
1,MT-ATP6,16.95388,7.798787219824089e-62
1,BPIFA1,16.129288,6.493923645761967e-56
1,MT-ND4,15.736481,3.3829033353178452e-53
1,SHISA3,14.898646,1.2374999116321249e-47
1,SLC34A2,14.1653185,5.39124465512411e-43
1,CAPN2,13.460898,8.500131455849772e-39
1,SAT1,12.571912,8.696483000889939e-34
