cluster,gene,score,pval_adj
7,MT-CO3,5.881262,7.741362361856998e-07
7,S100A6,4.7241807,0.0002969905641687136
7,ELF3,2.9786084,0.1582439600022795
7,BPIFA1,2.8349102,0.23049349514275733
7,CAPN13,2.0264742,0.9999205831892873
7,MUC5B,0.5532464,0.9999205831892873
7,CEACAM5,0.4062584,0.9999205831892873
7,NDST4,0.31420258,0.9999205831892873
7,LY6D,0.23891614,0.9999205831892873
7,CLDN4,0.16899706,0.9999205831892873
7,PCP4L1,0.1161876,0.9999205831892873
7,TBX15,0.107877694,0.9999205831892873
7,ZG16B,0.10643852,0.9999205831892873
7,AFF2,0.102876745,0.9999205831892873
7,KRT15,0.096981935,0.9999205831892873
7,TRIM17,0.09612933,0.9999205831892873
7,FNDC10,0.09033359,0.9999205831892873
7,HOXC6,0.084824055,0.9999205831892873
7,CECR2,0.08028193,0.9999205831892873
8,COL3A1,94.77055,0.0
8,COL1A2,10.314128,3.7011496835309385e-22
8,SPARC,3.3975487,0.05799376709189379
8,COL6A3,3.1172175,0.13657344648948358
8,MMP2,2.2236333,0.9999993266937549
8,AEBP1,1.9098982,0.9999993266937549
8,BGN,1.8748425,0.9999993266937549
8,COL5A1,1.6693658,0.9999993266937549
8,COMP,1.3136805,0.9999993266937549
8,VCAN,1.3125525,0.9999993266937549
8,THBS2,1.2372686,0.9999993266937549
8,COL1A1,1.1886026,0.9999993266937549
8,MMP11,1.06348,0.9999993266937549
8,ACTA2,0.95158666,0.9999993266937549
8,COL6A2,0.87697065,0.9999993266937549
8,SERPINE1,0.76341385,0.9999993266937549
8,CTHRC1,0.7325626,0.9999993266937549
8,SFRP2,0.6850359,0.9999993266937549
8,POSTN,0.6635465,0.9999993266937549
8,CALD1,0.626432,0.9999993266937549
9,IGLC2,67.99718,0.0
9,MT-CO3,6.873,5.464212046699813e-09
9,CEACAM6,6.5707617,3.807164929549656e-08
9,CEACAM5,5.951687,1.6147394894529862e-06
9,MT-CO2,4.7677455,0.0010001516077314638
9,RNASE1,3.8766496,0.04714825307669048
9,MT-ND4,3.510782,0.1772884013286222
9,CLDN4,3.2766676,0.36175375510666957
9,SHISA3,3.0851848,0.6514263239065553
9,MT-ATP6,3.011636,0.8038866506055309
9,TMSB10,2.9665687,0.9025116956996916
9,MT-CYB,2.8102748,0.9999924664831483
9,CAPN13,2.6320796,0.9999924664831483
9,TMSB4X,2.6144745,0.9999924664831483
9,LY6E,2.4547482,0.9999924664831483
9,ELF3,2.4272127,0.9999924664831483
9,S100A6,2.2819908,0.9999924664831483
9,TACSTD2,2.0479412,0.9999924664831483
9,ARF6,1.8749759,0.9999924664831483
9,EPCAM,1.8630186,0.9999924664831483
10,COL3A1,71.42646,0.0
10,TMSB4X,37.703125,0.0
10,S100A6,13.954763,5.968279503672093e-41
10,MT-CO3,12.995799,2.3592225966772096e-35
10,CEACAM6,11.1230345,1.1793644227041786e-25
10,TMSB10,9.566209,1.0653756889828676e-18
10,ELF3,8.964308,2.849619664768406e-16
10,MT-CO2,7.690732,1.1610138522361127e-11
10,MT-CYB,7.3173184,1.9239788347069788e-10
10,CEACAM5,7.0648084,1.1743091112316997e-09
10,SHISA3,6.0257525,1.1817038851197248e-06
10,MT-CO1,5.7870207,4.670535894761434e-06
10,MT-ND4,5.7071004,7.233036222830522e-06
10,ACTB,5.609888,1.2318176942953367e-05
10,CLDN4,5.4169745,3.56910321262498e-05
10,MT-ATP6,5.3472157,5.094727358651161e-05
10,CAPN13,4.954394,0.0003783901083297026
10,MT-ND4L,4.2832212,0.008848227153395812
10,SAT1,3.730141,0.08732814242640946
10,ATP1B1,3.4886658,0.21611445681981517
11,SFTPA2,83.7407,0.0
11,CEACAM6,25.99621,2.494079242046144e-145
11,RNASE1,24.631186,1.3358778237622806e-130
11,LY6E,21.801313,4.11515628476071e-102
11,SLC34A2,21.595478,3.2868749603554373e-100
11,TMSB4X,20.970615,1.8508293804797204e-94
11,BPIFA1,18.782337,1.4790335818387232e-75
11,S100A6,18.392756,1.9576398831542399e-72
11,ELF3,18.296812,1.0675981775587088e-71
11,CLDN4,17.142183,8.20239066630275e-63
11,MT-CO2,16.610188,5.963497740947046e-59
11,MUC1,16.3989,1.870773123916832e-57
11,IFI6,16.043417,5.8007095398541526e-55
11,MT-CO1,15.845072,1.321570252407133e-53
11,MT-CYB,15.379238,1.8716474994028827e-50
11,MT-ND2,15.12093,9.354067940387856e-49
11,MT-ND3,14.967664,9.084154485652962e-48
11,MT-ND4,14.236212,3.9870665859222725e-43
11,TMSB10,14.187865,7.646855226047693e-43
11,MT-CO3,14.175932,8.72883316212292e-43
12,IGLC3,58.950253,0.0
12,CEACAM6,5.823501,5.008920935876842e-06
12,MT-CO2,3.795497,0.08675950031316772
12,MT-CO3,3.7329853,0.10466359318586016
12,CEACAM5,3.6029654,0.16889797028823586
12,SHISA3,3.3528187,0.3976056503245816
12,S100A6,3.21155,0.5432926732818956
12,CAPN13,3.2046657,0.5432926732818956
12,MT-CO1,3.2010727,0.5432926732818956
12,MT-CYB,3.1019456,0.7310828355119571
12,TMSB10,2.078015,0.9999535454353303
12,CLDN4,2.0380106,0.9999535454353303
12,ELF3,1.988185,0.9999535454353303
12,BPIFA1,1.927494,0.9999535454353303
12,ABCC4,1.7722677,0.9999535454353303
12,AGR2,1.6860642,0.9999535454353303
12,MT-ND4,1.6591479,0.9999535454353303
12,NEMF,1.4593421,0.9999535454353303
12,TRAF4,1.447355,0.9999535454353303
12,MAP4K5,1.4433494,0.9999535454353303
13,COL1A1,66.892235,0.0
13,S100A6,7.090331,1.2853155423759694e-09
13,CEACAM6,6.7989783,8.741839321831156e-09
13,ELF3,5.9047256,2.5790313634675297e-06
13,CEACAM5,3.7872405,0.0631925688004912
13,MT-CO3,3.652234,0.10315669116079827
13,CAPN13,3.4747353,0.18667625689720438
13,CLDN4,3.4474528,0.2025364841815276
13,TMSB10,2.520276,0.9999896391836316
13,SHISA3,2.232552,0.9999896391836316
13,ERRFI1,2.0630267,0.9999896391836316
13,DUSP6,1.691053,0.9999896391836316
13,CXCL8,1.6606933,0.9999896391836316
13,CD55,1.4460146,0.9999896391836316
13,ANKRD36C,1.1969161,0.9999896391836316
13,MAP4K5,1.1724252,0.9999896391836316
13,ATP1B1,1.1086042,0.9999896391836316
13,CP,1.0941827,0.9999896391836316
13,MYO6,1.0220355,0.9999896391836316
13,TNC,1.00064,0.9999896391836316
14,SFTPB,46.059345,0.0
14,EPAS1,3.0472593,0.6910355864269533
14,SERPINA1,2.7722008,0.9999836943110044
14,PIGR,1.7932209,0.9999836943110044
14,SFTPA1,1.7362331,0.9999836943110044
14,AGER,1.6128014,0.9999836943110044
14,CYP4B1,1.5537822,0.9999836943110044
14,SFTPD,1.4560513,0.9999836943110044
14,AQP1,1.4117062,0.9999836943110044
14,SCGB3A2,1.305864,0.9999836943110044
14,EMP2,1.0794613,0.9999836943110044
14,PGC,0.8868372,0.9999836943110044
14,ZBTB16,0.8198412,0.9999836943110044
14,LRRK2,0.7684417,0.9999836943110044
14,VIPR1,0.7582251,0.9999836943110044
14,FOSB,0.69574916,0.9999836943110044
14,SYNE1,0.66934806,0.9999836943110044
14,C4BPA,0.6613534,0.9999836943110044
14,CAV1,0.6564648,0.9999836943110044
14,CAVIN2,0.64752245,0.9999836943110044
