cluster,gene,score,pval_adj
0,SPP1,1.8022095,0.5533203727665145
0,MMP11,1.055668,0.9999958251288815
0,SERPINE1,0.5252573,0.9999958251288815
0,LOXL2,0.52475303,0.9999958251288815
0,COL1A1,0.48521993,0.9999958251288815
0,MYH11,0.10036146,0.9999958251288815
0,BCHE,0.099692605,0.9999958251288815
0,ASPN,0.077949874,0.9999958251288815
0,DIO2,0.074783035,0.9999958251288815
0,KCNE4,0.07430155,0.9999958251288815
0,FAM178B,0.0737544,0.9999958251288815
0,FOXI3,0.06319508,0.9999958251288815
0,ZNF575,0.061106697,0.9999958251288815
0,CNTD1,0.059691936,0.9999958251288815
0,ADAMTS3,0.05831613,0.9999958251288815
0,SPOCD1,0.057585705,0.9999958251288815
0,SLC18A3,0.056484565,0.9999958251288815
0,RTN4RL1,0.055773064,0.9999958251288815
0,FOXC2,0.055764534,0.9999958251288815
0,PDE3A,0.054895163,0.9999958251288815
1,TNC,10.287252,9.184160031163545e-22
1,KRT5,9.8483,6.702723382602906e-20
1,FTH1,9.531322,1.2895053476609097e-18
1,IGFBP2,9.240796,1.943317407771992e-17
1,MT-ND4L,8.543801,9.125364218739602e-15
1,GCLC,8.222371,1.214936814275222e-13
1,MT-CO2,7.8495355,2.3838656520675258e-12
1,MT-CYB,7.396987,7.485002253221039e-11
1,FAM3C,7.266675,1.9230671077198632e-10
1,MT-ND2,7.229432,2.461195815518043e-10
1,IGFBP5,7.114644,5.539744049670165e-10
1,MT-ATP6,6.786258,5.532277185941112e-09
1,NTRK2,6.620752,1.5923290774427516e-08
1,CD9,6.5211563,3.034552909983473e-08
1,SLC2A1,6.396096,6.771880107853309e-08
1,MT-CO1,6.3667293,8.017220506054597e-08
1,MT-CO3,6.0762596,4.781488065172735e-07
1,MT-ND1,5.867348,1.6509035023733594e-06
1,TP63,5.727813,3.7169415304308255e-06
1,CLSTN1,5.614412,6.928917012781602e-06
2,S100A8,137.16194,0.0
2,S100A9,134.88933,0.0
2,SPRR1B,131.45166,0.0
2,SBSN,120.14956,0.0
2,SPRR2D,101.251564,0.0
2,SPRR3,77.243744,0.0
2,KRT6A,76.63071,0.0
2,KRT16,73.498085,0.0
2,SPRR1A,68.6089,0.0
2,KRT17,68.15591,0.0
2,LCN2,65.98412,0.0
2,PERP,63.894012,0.0
2,SPRR2A,63.663433,0.0
2,SPRR2E,62.716824,0.0
2,SAT1,61.439457,0.0
2,KRT6B,61.287804,0.0
2,CD24,55.630688,0.0
2,TACSTD2,55.456932,0.0
2,HSPB1,54.791714,0.0
2,KRTDAP,51.046112,0.0
3,IGHG2,180.60526,0.0
3,IGKC,144.43526,0.0
3,IGHG1,139.15126,0.0
3,IGLC2,121.65633,0.0
3,IGLC3,114.824455,0.0
3,IGHG3,98.3127,0.0
3,IGHA1,85.66206,0.0
3,COL3A1,53.02332,0.0
3,IGLC1,38.76026,0.0
3,XBP1,37.548904,1.7879473489159107e-305
3,COL1A1,37.122356,1.3983179074768084e-298
3,CD74,33.226532,4.284877578332914e-239
3,COL1A2,32.383183,4.324980841115875e-227
3,TXNDC5,29.606024,9.927823392193263e-190
3,SPARC,22.966393,6.3663518324764436e-114
3,TIMP1,21.432278,3.81510284583791e-99
3,COL6A3,21.062117,9.802920757026773e-96
3,SSR4,19.113018,9.714307884917284e-79
3,MMP2,18.434729,3.239808588750574e-73
3,A2M,17.73646,9.539576719051295e-68
4,IGHG3,142.228,0.0
4,IGKC,86.29756,0.0
4,IGHG1,82.13179,0.0
4,IGLC2,68.65824,0.0
4,IGLC3,61.909412,0.0
4,IGHA1,47.08512,0.0
4,COL3A1,36.032562,6.751079113488054e-281
4,CD74,27.11026,1.2377572882765526e-158
4,COL1A1,23.756496,1.2283323435422589e-121
4,COL1A2,20.822416,2.751940245676101e-93
4,TMSB4X,18.693306,4.660419971734691e-75
4,IGLC1,15.553009,1.0665936392723306e-51
4,TIMP1,15.312674,4.2573152802625856e-50
4,SPARC,15.253444,1.0189271460902448e-49
4,VIM,13.809217,1.2802077591592223e-40
4,A2M,13.228868,3.0335662474847357e-37
4,COL6A3,12.706515,2.6861652534759153e-34
4,XBP1,12.613224,8.582987880784152e-34
4,TXNDC5,12.588829,1.1215221639741559e-33
4,SFTPB,11.996834,1.5682922655520678e-30
5,MT-ND6,129.92365,0.0
5,MT-CO3,74.57845,0.0
5,MT-CO2,70.77454,0.0
5,KRT5,67.63041,0.0
5,MT-ND4L,64.14111,0.0
5,CD9,62.78806,0.0
5,MT-ATP6,62.490856,0.0
5,MT-CO1,60.73307,0.0
5,MT-CYB,60.547127,0.0
5,MT-ND2,51.863194,0.0
5,S100A2,48.186348,0.0
5,PERP,47.482365,0.0
5,MT-ND1,46.544456,0.0
5,SLC2A1,45.45917,0.0
5,GCLC,43.764805,0.0
5,MT-ND3,41.990715,0.0
5,ACTB,41.677498,0.0
5,OAZ1,40.55736,0.0
5,GPX2,39.615543,0.0
5,NTRK2,38.68403,0.0
6,IGHG2,104.26294,0.0
6,IGKC,78.252396,0.0
