cluster,gene,score,pval_adj
10,FN1_nbr_0,54.891674,0.0
10,FN1_nbr_1,52.284195,0.0
10,FN1_nbr_1,52.284195,0.0
10,TAGLN_nbr_1,52.206528,0.0
10,TAGLN_nbr_1,52.206528,0.0
10,BGN_nbr_1,51.571693,0.0
10,COL6A3_nbr_0,51.406975,0.0
10,COL6A3_nbr_1,51.096035,0.0
10,LUM_nbr_1,47.708225,0.0
10,LUM_nbr_1,47.708225,0.0
10,BGN_nbr_0,47.372246,0.0
10,TAGLN_nbr_0,46.21195,0.0
10,TAGLN_nbr_0,46.21195,0.0
10,COL5A1_nbr_1,45.658794,0.0
10,CCDC80_nbr_1,41.626846,0.0
10,ACTA2_nbr_1,41.05865,0.0
10,ACTA2_nbr_1,41.05865,0.0
10,LUM_nbr_0,40.862637,0.0
10,LUM_nbr_0,40.862637,0.0
10,VCAN_nbr_1,40.683525,0.0
10,AEBP1_nbr_1,40.406384,0.0
10,TPM1_nbr_1,40.20167,0.0
10,ACTA2,39.57234,0.0
10,ACTA2,39.57234,0.0
10,COL5A1_nbr_0,37.959225,0.0
10,DCN_nbr_1,37.51384,8.243618592020914e-306
10,DCN_nbr_1,37.51384,8.243618592020914e-306
10,MGP_nbr_1,36.579407,8.922900850760537e-291
10,VIM_nbr_1,35.006386,2.5176529329235854e-266
10,VIM_nbr_1,35.006386,2.5176529329235854e-266
10,LGALS1_nbr_1,34.98035,6.123471357935567e-266
10,COL6A2_nbr_1,34.42611,1.371941950524875e-257
10,C1S_nbr_1,33.26378,1.6880904451947492e-240
10,COL4A2_nbr_1,33.247692,2.8222352008390696e-240
10,TPM2_nbr_1,32.88872,3.9948968274117836e-235
10,TPM1_nbr_0,32.776943,1.5411307095770701e-233
10,C1R_nbr_1,32.024307,6.0232592906384196e-223
12,FCGR3A,64.65218,0.0
12,FCGR3A,64.65218,0.0
12,FCGR3A,64.65218,0.0
12,APOE_nbr_0,19.077438,5.85025880151927e-78
12,APOE_nbr_1,17.50817,1.4939255963182242e-65
12,VIM_nbr_1,14.47155,1.5758168024234706e-44
12,VIM_nbr_1,14.47155,1.5758168024234706e-44
12,VIM_nbr_0,14.098941,2.577786267787245e-42
12,VIM_nbr_0,14.098941,2.577786267787245e-42
12,LAPTM5_nbr_1,13.116781,1.588198735790296e-36
12,COL1A2_nbr_0,12.814734,6.800448568185421e-35
12,COL1A2_nbr_0,12.814734,6.800448568185421e-35
12,FN1_nbr_0,12.468652,4.7577963745089136e-33
12,FN1_nbr_0,12.468652,4.7577963745089136e-33
12,CD8A,12.077158,5.245345989854538e-31
12,CD8A,12.077158,5.245345989854538e-31
12,FN1_nbr_1,11.8448,7.655003414249887e-30
12,FN1_nbr_1,11.8448,7.655003414249887e-30
12,C1QA_nbr_1,11.743305,2.1955206034788107e-29
12,C1QA_nbr_1,11.743305,2.1955206034788107e-29
12,SPARC_nbr_0,11.73918,2.1955206034788107e-29
12,SPARC_nbr_0,11.73918,2.1955206034788107e-29
12,CD163_nbr_1,11.680408,3.8886361696542145e-29
12,CD163_nbr_1,11.680408,3.8886361696542145e-29
12,TYROBP_nbr_1,11.679871,3.8886361696542145e-29
12,PSAP_nbr_1,11.604954,9.001510027331449e-29
12,C1QC_nbr_1,11.406113,8.37711379406988e-28
12,C1QC_nbr_1,11.406113,8.37711379406988e-28
12,CTSZ_nbr_1,11.1284895,1.8918727671442302e-26
12,SPARC_nbr_1,10.836295,4.497268035114715e-25
12,SPARC_nbr_1,10.836295,4.497268035114715e-25
12,LGALS1_nbr_1,10.829604,4.687066126005784e-25
12,LAPTM5_nbr_0,10.639091,3.574940541703919e-24
12,PSAP_nbr_0,10.565821,7.59681454653272e-24
12,CD68_nbr_1,10.421639,3.301839174510178e-23
12,CD68_nbr_1,10.421639,3.301839174510178e-23
12,COL1A2_nbr_1,10.084374,1.0258511208395796e-21
12,COL1A2_nbr_1,10.084374,1.0258511208395796e-21
12,LGALS1_nbr_0,10.055368,1.3424044722413832e-21
12,CYBB_nbr_1,9.839019,1.1502305342694518e-20
12,TAGLN_nbr_1,9.652658,6.863033748996934e-20
12,TAGLN_nbr_1,9.652658,6.863033748996934e-20
12,CD163_nbr_0,9.475207,3.641310601501217e-19
12,CD163_nbr_0,9.475207,3.641310601501217e-19
12,TYROBP_nbr_0,9.248728,3.0381704423550755e-18
12,BGN_nbr_1,9.1439495,7.877331528113394e-18
12,COL5A1_nbr_1,9.089307,1.2762332084744771e-17
12,CD68_nbr_0,8.989141,3.060211568103764e-17
12,CD68_nbr_0,8.989141,3.060211568103764e-17
12,C1QA_nbr_0,8.87517,8.239575976526437e-17
14,ITGAM,29.004438,1.7403951542518745e-181
14,ITGAM,29.004438,1.7403951542518745e-181
14,VIM_nbr_1,7.15787,1.2327924213755625e-09
14,VIM_nbr_1,7.15787,1.2327924213755625e-09
14,APOE_nbr_0,6.8960423,6.435791651775827e-09
14,APOE_nbr_1,6.380238,1.7734329249629127e-07
14,VIM_nbr_0,6.044738,1.1257643171972243e-06
14,VIM_nbr_0,6.044738,1.1257643171972243e-06
14,PSAP_nbr_1,5.830752,3.689583758685698e-06
14,CD68_nbr_1,5.4344993,3.0062895861433445e-05
14,CD68_nbr_1,5.4344993,3.0062895861433445e-05
14,TYROBP_nbr_1,5.1592298,0.00012435584983650825
14,LAPTM5_nbr_1,5.106131,0.0001522191422680406
