group,names,scores,logfoldchanges,pvals,pvals_adj
13,OPTN,21.742382,4.2469096,8.155305354992046e-105,4.959241186370663e-101
6,IGHG3,-21.661455,-2.4497242,4.740232282455359e-104,5.0868269134607716e-101
9,SELENOW,21.654654,1.2448555,5.494322303412762e-104,5.896054222421119e-101
14,CEACAM6,21.544828,1.4987575,5.9202692902839065e-103,2.160069453252986e-99
13,IGKC,-21.4198,-1.537409,8.736482088279792e-102,3.984491068412206e-98
16,RNF149,21.400116,4.193239,1.3327717335873917e-101,1.2156877367917392e-97
9,COL3A1,-21.102896,-1.292757,7.48114378177141e-99,7.582139222825323e-96
11,IGLC3,-21.081987,-1.9768326,1.1639154818145006e-98,7.077770044913978e-95
6,TMSB4X,-20.997824,-0.8000432,6.866003909358725e-98,6.958694962135066e-95
6,TIMP1,-20.89401,-1.4156461,6.070252030945097e-97,5.828400410554285e-94
14,IGLC2,-20.762375,-2.1036081,9.476576169972972e-96,2.881352984480282e-92
15,RGS2,20.63169,4.7890635,1.4257916184105003e-94,1.3005358247331377e-90
6,FOS,-20.621445,-1.0992359,1.7621425249445945e-94,1.607338304128212e-91
6,DUSP1,-20.496096,-1.3580012,2.3327362509477906e-93,2.026481306001931e-90
9,MT-ND6,20.287214,1.1660298,1.6678076101649305e-91,1.6013586438020438e-88
6,SCGB3A1,-20.28604,-5.8931155,1.7081354850273631e-91,1.4164325296979176e-88
12,DOCK4,19.997505,4.3668747,5.789634608493768e-89,3.5206768054250604e-85
9,IFI6,19.81894,1.5567534,2.0437142563529568e-87,1.8641739589323497e-84
10,CD74,-19.76301,-1.3697894,6.199439217462022e-87,2.2619273928831935e-83
9,MMP7,19.710724,1.6693325,1.744560545313267e-86,1.5155246680071396e-83
6,FTL,-19.506092,-1.3149774,9.745370600052448e-85,7.72977373290247e-82
11,ARRB2,19.454313,4.2559614,2.679210296610266e-84,1.221920836026527e-80
11,CD74,-19.352556,-1.7063291,1.9397734773615e-83,7.077457509501168e-80
9,SCGB3A1,19.082077,1.7452418,3.5582871598768784e-81,2.950628757165177e-78
11,IGHG1,-19.039114,-1.6636508,8.088335846926561e-81,2.459258514258021e-77
10,S100A4,19.037247,3.279338,8.381993761562638e-81,2.5485452032031198e-77
10,COL3A1,-18.97915,-1.3312804,2.5366708613551725e-80,6.610926646243202e-77
11,TBC1D2B,18.76711,4.251886,1.4031095755653836e-78,3.656703998148471e-75
6,FTH1,-18.711603,-0.5968105,3.9821938962183463e-78,3.0269651353629703e-75
6,COL6A3,-18.67233,-1.569094,8.314324420558247e-78,6.067128816169764e-75
6,C3,-18.54471,-1.5262488,8.998359749648286e-77,6.3137337274166794e-74
6,LYZ,-18.538115,-1.4943286,1.0172597063028999e-76,6.873284748919928e-74
9,PON2,18.38875,1.3469746,1.6166531922294067e-75,1.282287138514829e-72
15,IGKC,-18.297546,-1.4161587,8.656030774032534e-75,5.263732313689184e-71
14,IGLC3,-18.19362,-2.078204,5.798047265037549e-74,1.511053946515429e-70
12,IGKC,-18.08816,-1.2185011,3.9505891077228344e-73,1.8017649273046916e-69
13,IGLC2,-18.080715,-1.6422199,4.521799475468321e-73,1.6498237566193716e-69
12,NR3C1,18.0588,4.116605,6.727011259959468e-73,2.454417328308812e-69
12,TNS3,17.885485,4.252431,1.5301585621845034e-71,4.6524471083219826e-68
9,TCIM,17.819721,1.4928076,4.9682811287623536e-71,3.776514693000484e-68
10,CEACAM6,17.780037,0.90415907,1.0091315393628836e-70,2.3011983340746358e-67
14,MT-CO3,17.729692,1.0298152,2.4738350203971933e-70,5.6412715346382494e-67
15,MORC3,17.713558,4.3643084,3.295608169674253e-70,1.503044495984185e-66
6,BPIFA1,-17.706865,-2.8022985,3.711813662607464e-70,2.4183791659624278e-67
10,CNOT6L,17.703983,3.5400262,3.906712032643892e-70,7.918905290169168e-67
9,SLPI,17.624115,1.7692175,1.6086816365115329e-69,1.1738871637951957e-66
9,FTH1,17.458889,0.71741307,2.9461249526778514e-68,2.0671599042962323e-65
11,CEACAM6,17.37037,1.04551,1.3832795479402434e-67,3.154396099134232e-64
6,SFTPB,-17.271114,-1.4169863,7.762867135987007e-67,4.883378798683137e-64
7,ELF3,-17.10767,-1.0523115,1.301023704855646e-65,1.5823050298454367e-62
13,IGLC3,-17.063915,-1.7574034,2.7545985662144376e-65,8.375356940574997e-62
14,GRK3,17.052109,4.3970823,3.3714745210319163e-65,6.833978854131694e-62
6,CXCR4,-16.971645,-1.5299996,1.3315007802297058e-64,8.09685624457684e-62
9,CD46,16.94047,1.2462903,2.2631089599713555e-64,1.5291072872873127e-61
7,ACTB,-16.927986,-0.7392023,2.7978845215909107e-64,3.190112957961436e-61
10,IGHA1,-16.860851,-1.7385781,8.732260088737979e-64,1.5930262079884695e-60
7,IGLC3,-16.860464,-0.8888786,8.78949765609307e-64,9.43216504353564e-61
9,SFTPA1,16.622564,2.2950552,4.7841678592780176e-62,3.11705622345746e-59
15,IGLC2,-16.302267,-1.5786989,9.509906337389118e-60,3.469784426259794e-56
14,S100A6,16.300724,1.1126243,9.753031918363628e-60,1.779245612867077e-56
7,IGLC2,-16.208244,-0.76870006,4.409925740726752e-59,4.469459738226563e-56
7,SLC34A2,16.14729,0.7889245,1.186626830475639e-58,1.1393491193877414e-55
13,SH3BGRL,16.132374,3.7562754,1.5109959163664317e-58,3.9378712146104024e-55
7,PGC,16.007753,5.752016,1.1281157382212094e-57,1.0290107706184762e-54
11,COL3A1,-15.98713,-1.3574264,1.5710442242469393e-57,3.1845066425485455e-54
12,IGLC2,-15.982776,-1.2938873,1.684738758948559e-57,4.390669882785509e-54
10,A2M,-15.692442,-1.5224922,1.7037449509371028e-55,2.8255835581768695e-52
12,IGLC3,-15.641494,-1.4129363,3.797143262742649e-55,8.658910567776768e-52
15,IGLC3,-15.603173,-1.7144448,6.926404136864665e-55,2.1059731778137012e-51
13,CEACAM6,15.51214,1.0542766,2.871477432542554e-54,6.548045350234226e-51
